"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"405";"rather , under the rule , he tries to overcome every new situation with his own intelligence , creative talent .";"ভারী কুয়াশার জন্য আমাদের করা আগে তাহলে না।";"0.543712"
"406";"the process of acquiring knowledge is also similar .";"কয়েক পাতা এবং অনুবাদ করা যায় ?";"2.467579"
"407";"the teacher will introduce the student to the learning process and methods of acquiring knowledge .";"সূর্য পূর্বদিকে উদয় হয় আপনাকে আমাদের একদমই অপেক্ষা করতে যাবে।";"1.151438"
"408";"applying those rules to all new situations , the student will arrive at a well-informed decision .";"রাতটা এতই উদয় যে মিত্রই প্রাণ এক কাপ কফি করার মতো সাহস ছিলো না।";"1.146042"
"409";"in this case , he will learn to use his logic , imagination , creativity , thinking and intelligence .";"সাধারণ এতই উতরাই আছে।";"0.146283"
"410";"each student must have this freedom that he can interpret the text in his own way and be able to establish relationships with all subjects of the realm related to that lesson .";"ভারী কুয়াশার জন্য অনুবাদ করা আগে আমরা হয়ত মেনে নেয় না যে ও ভুল করেছে।";"0.395763"
"411";"the issue of institutional education can be difficult for some child .";"আবহবার্তা পূর্বদিকে উদয় হয় আপনাকে পশ্চিম একদমই অপেক্ষা করতে হয়নি।";"1.717744"
"412";"but this does not mean that those children are worthless .";"এই ধরনের লক্ষ জন্য নিজের কাপ চা নেই।";"1.897742"
"413";"rather , the school has co-educational activities to identify the possibilities that many possibilities are hidden in them .";"রাতটা থাকার সবচেয়ে এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"1.811020"
"414";"sports , music , recitation , dance , drama , writing , science fairs , etc . is a part of various co-curricular activities .";"ভারী পাতা ইংরাজি অনুবাদ করতে যান।";"0.171034"
"415";"if co-curricular activities could be conducted with equal importance then establishment through education would not be irreplaceable option .";"যদি যদি যদি ডাক্তারের ডাক্তারের জন্য মানতেন , তাহলে হয়তো এখনো বেঁচে থাকতেন।";"0.973536"
"416";"parents and teachers would not torture the student continuously for doing well in the examination .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার একদমই মেনে নেয় না যে এলাম!";"1.213266"
"417";"but in our education system , there was never a student-friendly situation , it is not even today , and it can never be said whether it would be .";"ভারী পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টা বেশি কথা মেনে";"0.333118"
"418";"there is no scope for sports and cultural activities , no scope to write , no scope to draw .";"বসন্তের পাতা মানুষ তাদের কাপ এক কাপ কফি করার মতো সাহস ছিলো না।";"0.901457"
"419";"there is no other way for students to develop diverse talent , except by writing in the exam .";"বসন্তের পাতা উতরাই অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় দেবো না।";"0.944893"
"420";"some educational institutes organize cultural events and sports annually .";"বস্টনে দশ লক্ষ মানুষ মেরি কেউ মেনে";"2.139090"
"421";"these are all traditional , to some extent show off .";"সঠিক জিনিসটা করবেন , গরম অত অত হয়।";"3.795485"
"422";"with this there is no relation of illuminating students diverse talents with this .";"এই বইটি সেই জন্য দু কাপ চা আর এক কাপ কফি নিয়ে আসবেন।";"1.430172"
"423";"because , these events at the end of the year cannot identify students' diverse talents .";"ভারী কুয়াশার জন্য অনুবাদ করতে যাও!";"0.766523"
"424";"let's give a positive example .";"আমরা একবার চেষ্টা করেই দেখি!";"4.372913"
"425";"that event was a huge gathering of people .";"ঘরে ঘরে তিনবার ঘটেছে।";"2.288253"
"426";"about what ?";"তেরোজন সামলাও!";"30.326533"
"427";"about the stories written by children .";"প্রায় প্রায় গ্রামবাসী প্রায় হয়েছেন।";"3.580238"
"428";"how many children are writing stories , brings stories in the competition have no bound .";"ওয়াইকিকি পূর্বদিকে উদয় জন্য কতগুলো খ্রিস্টমাস কার্ড পেয়েছিলে ?";"1.095204"
"429";"many of these children found themselves as a writer .";"এই ধরনের কি অনেক অন্তত বসার করতাম ধন্যবাদ।";"2.150424"
"430";"from this call of dreams , from this wonderful development of imagination , maybe they won't have to return .";"আকাশ দেখে মনে হচ্ছে রয়েছে , রাতে বরফ পরা শুরু হতে লেগেছিলো।";"1.738686"
"431";"lubaba nauer , the best storyteller in the 2010 competition , dreams of becoming a writer .";"রাতটা ঘরে হলে আপনাকে অন্তত এক ঘন্টা অপেক্ষা করতে হবে।";"1.041864"
"432";"can our schools show dreams to the students ?";"যে কেউ জিতবেন তেমনকি কোনো সম্ভাবনা আছে ?";"4.873499"
"433";"the dreams of the child are asleep .";"যুদ্ধটা ১৯৫৪ স্টেশনটা শেষ হয়েছে।";"2.931251"
"434";"these dreams have to be awakened by the touch of philosophers stone .";"শত্রুর দুটো জিনিস আমাদের ইংরাজি মেনে সহজ হয় নি।";"1.528480"
"435";"it requires a dreamer teacher .";"কেউই একটা জোড়া পড়ে।";"4.844232"
"436";"what else could a teacher have to give to the child without a dream ?";"তুমি বুঝতেই মেয়াদ কী হওয়ার দু ঘন্টা করেছে না।";"1.223911"
"437";"but alas!";"ধাঁধা ভেবে দেখুন।";"22.590050"
"438";"where is that teacher ?";"ওই মালপত্র কোথায় ?";"12.440235"
"439";"where are those completely organized educational institutions ?";"আপনি যেখানে ব্যাপারে কোথায় দিয়েছে।";"2.931251"
"440";"university of dhaka";"পকেটমার থেকে সাবধান।";"22.590050"
"441";"it's the student leader , this is the assistant professor!";"প্রথমে বলে যে স্টেশনে যাওয়ার ব্যাপারে উৎসুক হয়ে আছি।";"2.133166"
"442";"'do not greet the elder brothers , do not respect , do not come in the program- what could be done other then beating them ? '";"ভারী কুয়াশার মানুষ অন্য বিরক্তিকর যাচ্ছিলো যে কথা বলার মতো কেউ থাকে না।";"0.526131"
"443";"this blasphemous remark is of the bcl president of the university of surya sen hall of dhaka university .";"এই প্রকল্পটা সমস্ত সমস্ত ছাত্রছাত্রীদের জন্য যাদের মাতৃভাষা জাপানী মাতৃভাষা জাপানী নয়।";"0.944893"
"444";"the prothom-alo presented it as a quote on 18 january .";"সূর্য পূর্বদিকে উদয় হয় আপনাকে পশ্চিম দিকে পথ।";"1.897742"
"445";"it is known reading after in detail that 10 - 12 students of dhaka university , all of whom , stayed in one room of masterda surya sen hall .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"0.333118"
"446";"all of them were brought to the hall on the 17th of january in the winter and were questioned , the head was stuck on the wall and was beaten at one stage .";"জিতেছিল ? ইয়র্কের এয়ারপোর্টের জন্য আমাদের থাকবে। তেমনকি থাকবে।";"0.148220"
"447";"what is their crime ?";"আজকের তারিখ কত ?";"12.440235"
"448";"they do not attend the bcl meeting ;";"তারা আসলে মানুষদের আক্রমণ করতে পারবে না।";"2.846513"
"449";"the do not greet the elder brothers .";"ফ্রিজে ফোনটার আগে আক্রমণ দেবেন না।";"2.907934"
"450";"this fault of the students has been heard from the leader of bcl who has also raises the matter of his responsibilities .";"এই প্রকল্পটা সমস্ত সমস্ত সমস্ত ছাত্রছাত্রীদের জন্য যাদের মাতৃভাষা জাপানী নয়।";"0.629460"
"451";"on the other hand , the hall's authority also presented a reputation for his responsibility and responsibilities to journalists .";"রাতটা কুয়াশার গরম করা তাদের প্রাণ চা আর এক কাপ কফি করার মতো সাহস ছিলো না।";"0.952315"
"452";"occasionally , such news about bcl comes in front of the of public through the media .";"ভারী পাতা ইংরাজি অনুবাদ করতে যান।";"0.648848"
"453";"not only the chhatra league , when the political parties are in power , their students' organization goes to the universities and colleges of the country like lion goes to forest .";"ভ্যালেন্টাইন কুয়াশার যদি মিত্রই থামে , তাহলে তাদের প্রথম";"0.370208"
"454";"they are involved in various types of criminal activities , including tender , murder , kidnapping and ransom .";"যখন বাড়ি হেঁটে যাবেন এসেছি। পরের স্টপটি পৌছাতে আর কতক্ষন যাচ্ছে ?";"0.944893"
"455";"when awami league was ruling in 2009 , their student wing chhatra league did not come out of this trend .";"যখন বাড়ি ফিরলাম "" সবকিছুই তখন দেখলাম তখন দেখলাম কাঁচের আবহাওয়ার উপর নির্ভর করছে। """;"0.880788"
"456";"although the awami league-led alliance said in their the electoral pledge of 23rd rounds to change the country's political culture , to build a modern prosperous country .";"রাতটা থাকার একটা অসুবিধে হোলো যে ব্যাঙ্কের দিনে চা আর এক কাপ কফি নিয়ে রাখতে দেওয়া ছিলো না।";"0.616123"
"457";"the people of bangladesh , especially young voters ( the students of the same age ) believe in the promises , have supported awami league with their .";"টম যখন খেলার পাতাটা পড়ছিল তখন মেরি বসার ছেড়ে চলে গেছে এক কাপ কফি নিয়ে বেশ কঙ্কাল নেয় ছিলো না।";"0.641698"
"458";"after 1973 , awami league results did not have such a big victory .";"শহরটাকে ঘরে লক্ষ জন্য হোলো কাপ চা আর এক";"1.367744"
"459";"in 1996 , when the awami league came to power in the elections , their seats were below 50 percent of the time .";"সাধারণ চড়াই উতরাই আছে। তাদের আছে।";"0.202053"
"460";"but the victory of 2008 was totally one-sided .";"ভারী কুয়াশার জন্য একজনকেও ছাড়ে ?";"2.461513"
"461";"the young generation of this country was the protagonist of this victory .";"সূর্য পূর্বদিকে উদয় হয় আর পশ্চিম দিকে অস্ত যায়।";"1.528480"
"462";"those who always want to see a developed , prosperous and modern country .";"কাঁচের এতই উচিৎ যে পৃথিবী ঢিল ছোড়া উচিৎ নয়।";"1.367744"
"463";"but within two weeks of the completion of two years of the government's tenure , the news that came in the newspaper again proved that 'there has not changed mind and behavior' .";"রাতটা কুয়াশার গরম করা তাদের প্রথম ওনাদেরকে তাহলে আর এক কাপ কফি করার মতো সাহস ছিলো না।";"0.446149"
"464";"since awami league is in power , so the bcl leaders have become kings .";"জাপান পাতা রেকর্ডারটা বসে চুল ঘন্টা পৌছাতে আর কতক্ষন লাগবে ?";"1.302622"
"465";"they are the kings here and the students are subjects .";"ট্রেনটা পৃথিবীর তৃতীয় নেবে দিলেন ,";"1.763751"
"466";"these people will continue to salute their kings , they will vow to them in the street , they will go to the procession without going to the examination!";"শত্রুর জিনিসটা করা মিত্রই অত তাহলে আমরা হয়ত মেনে নেয় না যে খাব।";"0.451107"
"467";"if they show any disagreement , there will come down the sword of torture .";"উনি যদি খুব ডাক্তারের সাথে মানতেন , তাহলে হয়তো এখনো বেঁচে থাকতেন।";"2.637408"
"468";"that happened in surya sen hall .";"ওই রাত উদ্দেশ্য নিজেরাই দিয়েছে।";"3.580238"
"469";"some will say it is an isolated incident or the university authorities or the top princes of that organization may take disciplinary action .";"কয়েক রাস্তা ধরে কেউ দু ঘন্টা মধ্যে নিজের মতো কেউ থাকে না।";"0.622912"
"470";"needless to say , it will be shown off .";"এটাকে বদলে অন্যভাবে হতে হবে।";"1.964876"
"471";"because , such incidents have been going on for two years .";"রাতটা কুয়াশার জন্য অনুবাদ করতে যান।";"1.492983"
"472";"awami league general secretary boasts that , "" but will not tolerate any bullying "" , says , "" shibir has entered the chhatra league . "" the prime minister is reluctant to cut relationship with them , whereas she is going to their program , cutting out the anniversary cake .";"ভারী পাতা ইংরাজি অনুবাদ করা এক কাপ তাহলে আর এক কাপ কফি করার মতো সাহস ছিলো না।";"0.145912"
"473";"it has been found in the newspapers that chhatra league has created 242 conflicts in the educational institutions in the last two years .";"তোমার এতই গরম যে আমি পুরোদিন আমার শীততাপ নিয়ন্ত্রিত বাড়িতে থাকতে চাই।";"0.622912"
"474";"of these , 190 happened inside of the educational institutions and 52 outside of the institutions .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"1.086065"
"475";"in these clashes , 16 people were killed , more than four thousand were injured .";"সাধারণ এতই উতরাই আছে। তাদের আছে।";"0.766523"
"476";"many educational institutions have stopped due to their terrorism .";"কয়েক বিশ্বযুদ্ধ হলে আপনাকে অন্তত এক ঘন্টা থেকে ধন্যবাদ।";"2.133166"
"477";"maybe someone will say , 'it has been happening during the tenure of previous government too' .";"যাও! হয়তো অনুবাদ করা হয়তো হয়তো ডাক্তারের যাচ্ছিলো হয়তো নুন ব্যাবহার করা হয়।";"1.135446"
"478";"yes , true .";"ধাঁধা";"4.186577"
"479";"but still it will be happening ?";"যত ধরনের সম্ভব বৃষ্টি করুন।";"3.580238"
"480";"it can not be accepted .";"এটা ধনী।";"6.766764"
"481";"the people are not accepting .";"আপনি বড়লোক। উপস্থিত হবে।";"4.844232"
"482";"the results of the local government elections prove it .";"সভাটার পূর্বদিকে উদয় হয় আর পশ্চিম দিকে অস্ত গেছে।";"2.133166"
"483";"in this column of the prothom alo , we responded to the violence of bcl during different times .";"সাধারণ চড়াই উতরাই আছে।";"0.187831"
"484";"the people of the country also demanded to stop this bullying at different times .";"রাতটা থাকার মতোই এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"1.302622"
"485";"but that did not stop , surya sen hall incident bears that testimony .";"রাতটা আয়নার সামনে বসে চুল ঘন্টা জিনিস একজন।";"1.304298"
"486";"the response to this event is not good either .";"আগামী অনুযায়ী শুধু দুটোই যথেষ্ট কঠিন।";"2.083626"
"487";"do awami league leaders , government ministers understand what ?";"ঠিক কি অন্যভাবে বলা যায় ?";"4.167252"
"488";"in the column on october 2 last year , in the wake of the government supporters attack on pabna administration officials , we asked whether the leaders and workers of jubo league-bcl leaders dug the drone for the government and the awami league in different areas of the country!";"সাধারণ এতই উতরাই আছে। তাদের আছে।";"0.003133"
"489";"today the results of the municipal elections proves that the danger is true .";"আজ বছরের সব সব সব যাওয়ার বছরের দিন।";"1.304298"
"490";"the danger is going on .";"বাজারটা সহজ।";"6.766764"
"491";"they are apparently identified as their party workers .";"দ্বিতীয় ইয়র্কের তেরো বছরের দিলেন ,";"2.461513"
"492";"when awami league will be in trouble , they will hide themselves and the burden of wrongdoing will be to the awami league .";"যখন রাস্তা ফিরলাম "" সবকিছুই তখন ধরেছি! পরের তখন সেটাই করো ছাড়ে ?";"0.662698"
"493";"history says so .";"সবাইকে সবাইকে চমৎকার।";"16.186478"
"494";"surya sen hall's provosts speech was quoted in the same report .";"যুদ্ধে কুয়াশার লক্ষ মানুষ তাদের প্রাণ হারিয়েছিলেন।";"1.607477"
"495";"the topic of the tension of teachers of dhaka university about 'tareq bandana' was released on september 8 , 2010 in this column .";"সূর্য পূর্বদিকে উদয় হয় তাদের দুটোই স্থির একদমই দেখা করতে হয়নি।";"0.574760"
"496";"today i see , there are still some teachers who have not learned responsibilities , have grown without moral values , have collected certificates , have not achieved humanism .";"দিন। বছরের সমস্ত যে মিত্রই দিন।";"0.074331"
"497";"a guardian send his child to the university thinking that the university teacher will stand by the danger of his child .";"অনেকেই বলে যে টম আমাদের দলের সব করতে চলেছিলো , খেলোয়ার।";"0.689365"
"498";"when the guardian will come to know the mischief of the bcl , and the provost's speech about it , surely he will be ashamed .";"যখন যখন তেরো ট্রেনটা কখন তখন দেখলাম তখন সেটাই করো না , তখন সেটাই করো যেটা তুমি পারো।";"1.377057"
"499";"the statement made by the provost , is ineligible for forgiveness .";"সূর্য পূর্বদিকে উদয় হয় আর পশ্চিম দিকে অস্ত যায়।";"1.708106"
"500";"his statement proves that he is dumb and deaf .";"উনি যদি ওনার সাথে মাছ ধরতে চলেছিলো ,";"2.150424"
"501";"if a man is in danger we still run to help him , it is our childhood education , our culture .";"যদি যদি যদি হয়তো যদি তাহলে করি , তাহলে আর এখনো বেঁচে থাকতেন।";"1.545825"
"502";"this culture still exists in educated-illiterate , rich-poor people .";"এই বইটি শুধু সমস্ত নদী।";"1.964876"
"503";"although a teacher takes various advantages from the responsibilities of a provost , still holds the opinion that since 'someone did not come , therefore the conscience did not feel like ' , then naturally it seems that our brain is really receding .";"ভারী কুয়াশার জন্য একজনকেও থাকে তাদের প্রাণ তাহলে আর এক কাপ কফি করার মতো সাহস ছিলো না।";"0.233596"
"504";"even if many people in the community receive formal education , the teacher is still living with the mental disabilities , he proves it .";"এই বৃষ্টি হলেও বৃষ্টি হলেও আমি সাঁতার সময় যাবো।";"0.402903"
"505";"the leader of the bcl has committed crime by beating and the provost has done it by ignoring his responsibilities .";"সূর্য কুয়াশার এবং তাঁরা পার্ক দুটোই স্থির একদমই পথ।";"0.628377"
"506";"we demanded action against both of them .";"আমরা আমাদের নিজেদের হিসাবে নিজেরাই হই।";"2.907934"
"507";"authors are university teachers , human rights activists and lawyers .";"শহরটাকে ঘরে লক্ষ মানুষ তাদের প্রাণ হারিয়েছিলেন।";"1.854330"
"508";"jahangirnagar university";"ধাঁধা ভেবে দেখুন।";"22.590050"
"509";"open-air attacks , barriers to cultural activities";"এটাকে আটটার আগে ভুতে খাওয়া হবে।";"3.435318"
"510";"jahangirnagar university becomes news headlines at times .";"রাতটা কুয়াশার জন্য দূরে বয়সের";"2.931251"
"511";"sometimes by its beauty , and other times by their shameful activities .";"এখনকার ঘরে লক্ষ জন্য নিজের প্রথম কাপ কিনতে।";"1.477963"
"512";"the first one is nice , the second is a pity .";"সূর্য পূর্বদিকে নিজেদের হয় অস্ত যায়।";"1.492983"
"513";"the beauty of nature and birds is more often printed .";"সূর্য পূর্বদিকে উদয় হয় আর পশ্চিম দিকে অস্ত যায়।";"1.908841"
"514";"when the point people comes , there come innumerable scandals and rubbish .";"যখন রাস্তা ফিরলাম "" সবকিছুই তখন দেখলাম তখন সেটাই করো যেটা তুমি পারো।";"1.544528"
"515";"the number of these people is very low , but their ugly reputation reaches from teknaf to tentulia .";"যত তাড়াতাড়ি যে মতোই এসেছিলো , তাই পশ্চিম একদমই স্থির বেরোতে হয়নি।";"1.889785"
"516";"a similar incident happened recently at jahangirnagar university's open stage .";"অনেকেই দশ লক্ষ মহিলার আমাদের একদমই ছোড়া উচিত নয়।";"1.908841"
"517";"january 26 , 2011 was the 10th and the last day of the drama stage organized by jahangirnagar theater .";"সূর্য পাতা ইংরাজি অনুবাদ করতে যান।";"0.393546"
"518";"the invited drama team from dhaka was ready for acting , along with that preparation was going on to honor the playwrights .";"সূর্য পূর্বদিকে উদয় হয় আপনাকে পশ্চিম একদমই অপেক্ষা করতে হয়নি।";"0.571787"
"519";"just then a group of armed bcl activists attacked the open-stage and broke all the lights on the stage .";"এখনকার থাকার শুধু জানাবেন। তেমনকি নিজের একদমই অপেক্ষা করতে হয়নি।";"0.771832"
"520";"we are shocked , angry and hurt at this incident .";"আমরা আজ সামনে আমাদের ব্যাপারে একত্রিত হই।";"1.854330"
"521";"i am confessing strong hatred for the attackers .";"আমি বিমানে জন্য কত ঘন্টা কাটিয়েছি।";"2.461513"
"522";"it is doubtful whether or not this kind of attack has occurred in the 40 - year history of the university .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"0.689365"
"523";"every progressive learner of this university knows how deep intellectualization and cultural excellence the 'muktomancha' have given them apart from academic studies .";"ভারী পাতা ইংরাজি অনুবাদ করা মানতেন , প্রাণ তাহলে আর এক কাপ কফি করার মতো সাহস ছিলো না।";"0.813401"
"524";"there are at least four dramas and cultural festivals in the muktomancha every year and in different names .";"বসন্তের প্রত্যক্ষ লক্ষ মানুষ তাদের প্রাণ অনুবাদ করতে দেবো না।";"0.853007"
"525";"usually there are many events organized throughout the year .";"জীবনে বিশ্বযুদ্ধ লক্ষ মানুষ তাদের প্রাণ হারিয়েছিলেন।";"2.139090"
"526";"from this stage , voices had been against the military dictatorship , against the resistance , and alliances against anti-liberation forces was formed .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি পরা লেগেছিলো।";"0.574760"
"527";"everyone remembers this place as a source of education outside classroom .";"সবাই কুয়াশার মানুষ তাদের প্রথম";"1.317096"
"528";"on the 40th anniversary celebrations of the university , the students were seen to remember the similar memories .";"রাতটা শুনবেন , এয়ারপোর্টের জন্য একজনকেও ছাড়িয়ে এসেছি।";"1.396281"
"529";"but currently muktomancha-centred cultural activities are not easy to operate .";"ভারী কুয়াশার জন্য একজনকেও দেখা যাচ্ছিলো না।";"1.854330"
"530";"administrative restrictions and control forces have wounded the organizations .";"কাঁচের ঘরে লক্ষ মানুষ তাদের প্রাণ হারিয়েছিলেন।";"2.139090"
"531";"the administration itself once tried to control the cultural field in the name of proctorial law , but did not succeed .";"সূর্য অনুযায়ী মতোই এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"1.378730"
"532";"firing incidents have occurred in the room of the recitation organization just a few days ago .";"এখনকার থাকার মতোই এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"1.086065"
"533";"during the last event , the terrorism of the bcl happened .";"ভারী কুয়াশার জন্য একজনকেও কাঁচের যাচ্ছিলো";"1.492983"
"534";"lighting system was broke , crowd was panicked .";"যুদ্ধে বিশ্বযুদ্ধ ১৯৪৫ সালে সমাপ্ত উচিত হয় না।";"2.436749"
"535";"cultural organization activists were being interviewed .";"এখনকার একই ১৯৪৫ সালে সমাপ্ত উচিত হয় না।";"2.761199"
"536";"the truth is that the forces of political parties hailing the progress and the liberation war have stunned the open-hearted ecstasy .";"সূর্য পূর্বদিকে উদয় হয় পশ্চিম একদমই স্থির করতে হয়নি।";"0.562296"
"537";"as far as i heard , the authorities of the university knew that there was a tension between the two groups since the afternoon of the incident .";"ভারী কুয়াশার জন্য একটা কাপ হোলো "" এই তাহলে হয়তো হয়ত মেনে নেয় না যে বিদায়।";"0.577608"
"538";"did they take any sort of security action ?";"আপনি কি গরমে হোটেলে গেছিলেন ?";"4.923026"
"539";"why the fighting between rival groups to gain their own domination spread fear in the administration ?";"বাইরে সময় মতোই এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"1.086065"
"540";"it is known to all that cultural organizations have no competitive relations with the groups .";"কয়েক জিনিসটা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"1.189425"
"541";"cultural workers have always received love and respect from the students .";"ভারী পাতা জন্য অনুবাদ করতে যাও!";"1.492983"
"542";"it is known that the university authorities do not provide any big financial assistance except for the permission of organizing the festivals .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"0.629460"
"543";"organizations manage their festivals depending on financial assistance from different company and personal assistance .";"ভারী পাতা ইংরাজি অনুবাদ করতে যান।";"0.905540"
"544";"the things that were broken on 26 january was hired ;";"এই সিগারেটের হলে যাবেন আমি জানার জন্য উৎসুক হয়ে আছি।";"1.898401"
"545";"who will take responsibility for these ?";"চিঠিটা কে ডাকে ঘন্টা জন্য নির্ভর করবেন।";"3.283637"
"546";"so , the administration failed to provide security to thousands of students of the university ?";"রাতটা কুয়াশার জন্য একজনকেও দেখা করতে কর।";"0.907772"
"547";"administration is vowed to the student groups ?";"সাফল্য গলাবার জন্য নুন ব্যাবহার করা না।";"2.846513"
"548";"or does administration have support in the opposition of the progressive cultural activities ?";"এখনকার কুয়াশার ভাজ আর পশ্চিম দিকে অস্ত দিয়েছেন।";"1.304298"
"549";"as we can see , the universities have gradually become the grasslands of government occupiers .";"আমরা সবে অন্য হোলো পুর্ব এক ওনাদেরকে রাখতে আর না ?";"1.189425"
"550";"the government changes and the universities change vice chancellor and teachers' changes their side .";"সূর্য অনুযায়ী মতোই এসেছিলো , তাই পশ্চিম একদমই অপেক্ষা করতে হয়নি।";"1.302622"
"551";"in the student groups , there happens change of groups and halls filled with violent attackers .";"জীবনে চড়াই উতরাই আছে।";"0.309681"
"552";"universities do not find the right path of knowledge building , practice and development , under the absolutist authority of the vice-chancellors and the destruction of government student organizations .";"রাতটা কুয়াশার গরম যে মিত্রই প্রাণ তাহলে আর এক কাপ কফি করার মতো সাহস ছিলো না।";"0.509738"
"553";"like many other universities of the country , our universities are not free from political ruckus .";"আবহবার্তা কাঁচের যদি যাবেন তখন ব্যাঙ্কের কাছ থেকে যান।";"0.980031"
"554";"but it is a similar old university of the liberation of bangladesh .";"ক্রীস্টমাস কুয়াশার জন্য একটা কাপ চা আর এক";"1.477963"
"555";"the victory of liberation war , freedom of progressive is supposed be announced here .";"ট্রেনটা সময় মতোই এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"2.605244"
"556";"but this is not happening .";"ধন্যবাদ , পুরোপুরিই এই তথ্য রয়েছে।";"4.058349"
"557";"i do not know whether or not it will happen .";"আমি জানিনা কতটা ভয়াবহ না বুধবার।";"1.763751"
"558";"the concept of 'university' mainly taught the concept of open-mind , free land , free knowledge .";"সূর্য পূর্বদিকে উদয় হয় আপনাকে পশ্চিম একদমই অপেক্ষা করতে হয়নি।";"1.041864"
"559";"our expectation is that university authorities will help in maintaining the progressive activities of the students organizations .";"জাপানী। তাড়াতাড়ি আমাদের জন্য শেখা থাকবে।";"0.549238"
"560";"they will stand by the affected organizations .";"উনি গত পরশু নারিতায় পৌছেছি।";"2.931251"
"561";"we should not forget that , the organizations in pakistani tenure played a historic role in achieving the independence of bangladesh by maintaining cultural struggle .";"আমরা যদি মায়ের জন্য আমাদের থাকলে জানিও। জন্য আমাদের যাচ্ছিলো না।";"0.479208"
"562";"it is important to remember that the jahangirnagar university was the active force of the pre-liberation war bangladesh , where the vicious form of religious-centric politics has not been accepted neither was accepted the continuous phase of oppression ;";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"0.146983"
"563";"resistance has been created , 'muktamanch' has become the inevitable symbol of resistance .";"কাঁচের ঘরে লক্ষ এসেছিলো , তাদের প্রাণ হারিয়েছিলেন।";"2.608596"
"564";"growing political persecution and administrative control that is causing severe anger among the students of the university can be spread to large scale at any time .";"ভারী পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টা অপেক্ষা করতে হয়নি।";"0.437565"
"565";"free the university of dhaka from the tenant .";"দ্বিতীয় কুয়াশার জন্য একজনকেও ছাড়ে ?";"2.461513"
"566";"extremious bcl";"ধাঁধা ভেবে দেখুন।";"22.590050"
"567";"one of the provost was found to be disillusioned in establishing discipline at dhaka university's dormitory .";"একা থাকার একটা অসুবিধে হোলো যে কথা বলার মতো কেউ থাকে না।";"1.116259"
"568";"the supervisor was insulted while supervising another hostel , because he did not get permission from bcl leader .";"আবহবার্তা অনুযায়ী মতোই এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"1.811020"
"569";"in another hall when the teacher went to expel the bcl leaders from the hall because of their end of studentship , they have assaulted three teachers .";"জীবনে চড়াই উতরাই আছে। আছে।";"0.053688"
"570";"there is no end to the incident , there is no limit to the power of chhatra league .";"জীবনে চড়াই উতরাই আছে। জানিও।";"0.324792"
"571";"one of the provosts submitted the resignation , others were failing to perform the duties .";"যুদ্ধে থাকার লক্ষ জন্য হোলো যে কথা বলার মতো কেউ থাকে না।";"1.213266"
"572";"in one word , the two news of the prothom alo on sunday said that the administration of the university is under the strict "" rule "" of bcl .";"জীবনে চড়াই উতরাই আছে।";"0.012008"
"573";"bcl decides who will stay in the hall and who won't , what can be done and what cannot be done .";"ভারী পাতা ইংরাজি অনুবাদ করতে যান। "" না , তাদের প্রাণ ছোড়া উচিত করার মতো সাহস ছিলো না।";"1.719737"
"574";"the occupation is so widespread that the freedom of the students and freedom of expression is near to impossible , the teachers are also upset and scared .";"সূর্য পূর্বদিকে উদয় হয় তাই পশ্চিম একদমই অপেক্ষা করতে হয়নি।";"0.346807"
"575";"when the source of power is the political identity and the ruling organization , then the role of the university administration becomes the conscience of jatrapala , who will speak good but will not have the power to intervene to prevent injustice .";"যখন যখন ফিরলাম ফিরলাম তখন দেখলাম তখন দেখলাম যখন তখন সেটাই করো ছাড়ে ?";"0.178918"
"576";"if the students do any wrong , the responsibility of remedies should be done by the administration , irregularities and terrorism in the hostel should be controlled by the administration and provost .";"যদি যদি যদি যদি যদি তাহলে করি , তাহলে তাহলে হয়তো এখনো বেঁচে থাকতেন।";"0.730961"
